phone,state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
(415) 264-2400,IL,89,yes,yes,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3.0,0
(415) 960-2867,WI,126,yes,yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4
(510) 853-0963,ME,102,no,no,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1
(415) 439-2424,SD,113,yes,no,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1
(415) 800-4166,IN,101,no,yes,33,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57,2
(510) 187-0745,CT,106,no,yes,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1
(415) 257-1371,AL,69,no,no,0,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,9.0,5,2.43,3
(510) 382-7070,CO,83,no,no,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1
(415) 593-1515,DE,67,yes,yes,35,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0
(510) 692-4228,OH,75,no,yes,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3
(415) 365-1217,OH,75,no,no,0,150.6,99,25.6,301.5,83,25.63,158.7,104,7.14,8.1,5,2.19,0
(408) 644-2841,WI,78,no,no,0,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0
(408) 669-4904,GA,189,no,no,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2
(415) 521-5320,MT,126,no,yes,30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4
(408) 922-9048,NH,50,no,no,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0
(415) 835-4408,WV,57,yes,yes,17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29,2
(408) 152-7550,MD,163,no,no,0,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1
(408) 526-9503,NH,174,no,no,0,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,10.0,5,2.7,2
(415) 389-3723,UT,68,no,no,0,213.9,112,36.36,260.5,100,22.14,233.8,97,10.52,8.4,3,2.27,1
(510) 752-1151,CA,93,no,yes,19,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2
(415) 662-4673,OK,155,no,yes,23,243.9,112,41.46,133.0,106,11.31,213.7,123,9.62,13.4,11,3.62,2
(510) 477-1333,OR,136,no,no,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1
(408) 580-7779,ME,118,yes,yes,21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3.0,4
(408) 457-9265,HI,117,no,no,0,102.3,100,17.39,135.2,104,11.49,199.7,93,8.99,15.7,10,4.24,3
(415) 936-2594,MT,48,no,yes,36,230.9,92,39.25,167.6,121,14.25,270.0,87,12.15,7.6,4,2.05,3
(510) 568-7794,OH,107,no,yes,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11.0,1,2.97,2
(415) 873-2382,MO,56,no,no,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1
(415) 903-2039,TX,159,no,no,0,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1
(415) 117-0880,SD,78,no,yes,25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0
(415) 950-5852,MD,75,no,yes,39,198.2,107,33.69,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1
(415) 361-4498,NJ,83,no,no,0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3
(510) 186-0301,AR,99,yes,no,0,242.3,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0
(415) 663-4682,RI,83,no,yes,20,95.0,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0
(415) 911-3241,NM,141,no,no,0,160.1,87,27.22,256.7,120,21.82,270.0,107,12.15,7.0,1,1.89,2
(415) 418-4562,MT,184,no,no,0,236.4,73,40.19,287.3,120,24.42,192.0,94,8.64,13.8,4,3.73,1
(510) 872-5048,SC,138,no,yes,21,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13,0
(510) 723-8961,ND,84,no,no,0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,2
(415) 361-3832,MO,72,no,no,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12.0,5,3.24,2
(510) 303-1855,MN,65,no,yes,29,158.1,104,26.88,322.2,81,27.39,210.0,96,9.45,8.9,6,2.4,1
(408) 228-4534,TN,99,no,no,0,54.8,92,9.32,173.0,103,14.71,195.1,125,8.78,7.5,3,2.03,1
(510) 133-2488,UT,111,no,no,0,191.3,80,32.52,138.5,94,11.77,246.0,107,11.07,6.4,3,1.73,2
(415) 144-2985,FL,106,no,yes,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3
(415) 851-0185,KY,88,no,no,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2
(408) 714-1722,MS,17,no,yes,35,198.5,123,33.75,270.6,74,23.0,209.9,130,9.45,8.1,10,2.19,1
(408) 250-1049,VT,64,no,no,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1
(510) 451-8908,GA,107,no,no,0,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,2
(415) 307-8723,CT,90,no,no,0,37.8,80,6.43,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3
(408) 479-2688,WY,90,no,yes,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1
(415) 851-1485,ID,114,no,no,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2
(415) 877-3921,OR,140,no,no,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4
(408) 310-3015,SC,102,no,no,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4
(510) 995-9894,MI,70,no,no,0,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1
(510) 734-6085,MS,84,no,no,0,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1
(510) 869-8924,MA,80,no,no,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2
(415) 904-8999,VA,113,no,yes,23,149.0,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4
(415) 685-1222,MS,111,no,yes,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2
(415) 676-0270,TX,70,no,no,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0
(408) 111-3563,DC,60,no,no,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1
(510) 949-3179,MT,71,no,yes,23,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1
(415) 312-7339,WV,124,no,no,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,3
(415) 834-5812,WA,66,no,no,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2
(415) 629-5244,OH,106,no,no,0,158.6,112,26.96,220.0,114,18.7,252.9,106,11.38,9.1,3,2.46,0
(510) 698-7925,CO,59,no,no,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1
(415) 574-2640,ND,87,yes,yes,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1
(415) 582-6476,MI,59,no,no,0,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12.0,4,3.24,1
(510) 386-0393,NE,21,no,no,0,225.0,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0
(415) 700-7916,NJ,147,no,yes,36,254.2,78,43.21,228.1,105,19.39,98.0,125,4.41,13.8,7,3.73,5
(415) 726-3403,OR,117,no,yes,17,221.3,82,37.62,167.6,100,14.25,262.7,87,11.82,4.4,4,1.19,0
(415) 603-9589,MO,138,no,yes,29,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0
(415) 170-2679,DE,80,no,no,0,199.8,138,33.97,167.1,91,14.2,271.8,94,12.23,5.5,4,1.49,1
(510) 141-1517,DE,133,no,no,0,245.8,102,41.79,264.7,90,22.5,111.7,103,5.03,11.2,7,3.02,0
(408) 517-2053,MD,123,no,no,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3
(415) 457-2316,KY,39,no,no,0,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1
(510) 307-4350,TX,92,no,no,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2
(510) 153-5954,IL,65,no,no,0,192.0,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2
(415) 921-9340,NM,67,no,no,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1
(415) 475-8997,CT,124,no,no,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1
(415) 119-8478,NJ,84,no,no,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2
(408) 766-3747,VA,145,no,no,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1
(415) 740-2962,NC,124,no,no,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1
(415) 678-7654,NM,94,no,no,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3
(408) 632-5332,KY,72,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8.0,6,2.16,1
(415) 209-4156,NV,177,no,yes,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1
(408) 650-8092,KY,43,no,no,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4
(415) 963-2430,DE,99,no,no,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2
(510) 295-9433,VA,150,no,no,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1
(510) 356-7663,CA,77,no,no,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4
(415) 545-1518,ID,86,no,no,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3
(415) 147-2580,MD,165,no,yes,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3
(415) 120-7534,ME,41,no,yes,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,11.1,4,3.0,1
(415) 300-9888,SD,108,no,no,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2
(408) 216-8911,DE,115,no,no,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1
(415) 838-6745,WI,105,no,yes,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2
(408) 717-7633,UT,104,no,no,0,263.4,101,44.78,235.5,117,20.02,102.0,146,4.59,13.0,4,3.51,0
(415) 536-5767,LA,82,no,no,0,197.7,101,33.61,127.6,83,10.85,142.1,103,6.39,13.5,3,3.65,1
(415) 135-6481,ME,140,no,no,0,159.1,104,27.05,269.8,106,22.93,220.4,116,9.92,10.3,4,2.78,1
(415) 807-5554,NC,106,no,yes,37,223.5,104,38.0,235.1,99,19.98,140.1,90,6.3,10.6,5,2.86,2
(415) 262-8870,NV,141,no,no,0,192.4,111,32.71,156.9,87,13.34,175.8,82,7.91,11.0,6,2.97,0
(408) 417-1363,CO,98,no,no,0,236.2,122,40.15,189.4,110,16.1,153.6,104,6.91,13.3,4,3.59,0
(510) 702-0308,CA,138,yes,no,0,196.2,129,33.35,176.5,86,15.0,232.4,108,10.46,15.2,1,4.1,0
(415) 945-4752,RI,127,no,yes,27,140.1,59,23.82,223.4,111,18.99,257.9,73,11.61,3.8,10,1.03,1
(510) 711-2517,GA,202,no,no,0,115.4,137,19.62,178.7,70,15.19,185.7,113,8.36,6.0,3,1.62,3
(415) 575-9369,MA,79,no,no,0,156.9,109,26.67,122.2,87,10.39,189.1,103,8.51,11.3,5,3.05,3
(510) 999-0207,ND,166,no,no,0,197.9,89,33.64,251.0,113,21.34,138.3,85,6.22,11.2,2,3.02,2
(510) 629-0348,KS,47,yes,no,0,47.8,120,8.13,178.9,123,15.21,152.6,96,6.87,13.3,7,3.59,0
(510) 541-0848,ND,160,no,no,0,121.8,97,20.71,89.3,97,7.59,150.7,92,6.78,10.3,5,2.78,1
(415) 935-1140,OK,180,no,no,0,143.5,121,24.4,189.3,111,16.09,174.9,82,7.87,8.8,5,2.38,3
(510) 263-2459,ID,170,no,yes,37,178.1,130,30.28,242.8,103,20.64,243.0,93,10.93,13.0,4,3.51,0
(408) 640-7071,TX,123,no,no,0,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,2
(415) 876-0722,LA,133,no,no,0,216.2,67,36.75,222.2,133,18.89,192.0,95,8.64,3.1,1,0.84,2
(415) 809-0547,FL,127,no,no,0,261.7,105,44.49,181.8,107,15.45,100.9,131,4.54,3.3,5,0.89,0
(415) 278-5819,AL,8,no,yes,36,242.9,67,41.29,170.9,59,14.53,177.3,130,7.98,4.8,12,1.3,1
(415) 447-6034,MS,13,no,no,0,303.2,133,51.54,170.5,86,14.49,227.6,80,10.24,11.5,3,3.11,0
(415) 346-0731,CA,137,no,yes,22,189.6,42,32.23,179.0,137,15.22,179.6,126,8.08,11.4,5,3.08,2
(415) 112-1540,WV,94,no,yes,28,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,4,2.67,3
(510) 549-5573,KS,148,no,no,0,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1
(408) 212-0154,NH,148,no,no,0,17.6,121,2.99,161.7,125,13.74,203.1,82,9.14,10.6,6,2.86,1
(510) 842-9517,UT,144,no,yes,37,219.9,102,37.38,222.1,77,18.88,118.5,111,5.33,10.0,4,2.7,1
(415) 876-7305,AK,146,no,no,0,195.9,86,33.3,228.6,82,19.43,303.5,94,13.66,12.2,4,3.29,3
(415) 155-6431,NC,107,no,yes,38,204.2,57,34.71,205.9,92,17.5,286.5,80,12.89,8.3,4,2.24,0
(415) 480-1329,NE,34,no,no,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0
(510) 242-1705,TX,86,no,no,0,92.8,92,15.78,159.6,87,13.57,148.7,115,6.69,8.8,5,2.38,1
(415) 807-0117,MN,100,no,yes,27,221.7,100,37.69,236.1,70,20.07,192.7,91,8.67,8.0,4,2.16,0
(415) 180-0550,PA,104,no,no,0,144.5,107,24.57,180.5,85,15.34,226.0,94,10.17,17.0,6,4.59,2
(510) 973-8231,IN,205,no,no,0,49.9,123,8.48,150.7,81,12.81,188.2,67,8.47,10.1,4,2.73,2
(415) 340-8252,OK,93,no,yes,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0
(415) 405-2004,NE,123,no,no,0,150.0,98,25.5,89.8,95,7.63,326.0,91,14.67,11.1,3,3.0,3
(408) 605-0213,VA,43,no,yes,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3
(510) 292-8410,WV,106,no,no,0,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,11.5,7,3.11,0
(415) 425-6211,KY,122,no,no,0,168.3,96,28.61,87.6,91,7.45,247.2,87,11.12,8.4,6,2.27,1
(415) 441-8602,AL,137,no,no,0,104.7,115,17.8,249.8,144,21.23,192.3,99,8.65,8.9,2,2.4,1
(415) 493-2416,IN,46,no,yes,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1
(510) 379-8422,LA,40,no,no,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0
(408) 588-6308,CT,22,no,no,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0
(415) 649-2723,MO,101,yes,no,0,133.5,51,22.7,219.6,96,18.67,210.0,74,9.45,11.7,4,3.16,1
(510) 291-3916,WI,153,no,no,0,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73,1
(415) 880-2955,NY,112,no,no,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4
(415) 686-8637,ND,101,no,yes,36,123.7,125,21.03,172.6,106,14.67,280.5,127,12.62,8.8,4,2.38,1
(510) 102-6662,SC,161,no,no,0,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4,1
(415) 484-0063,SC,130,no,no,0,212.8,102,36.18,189.8,137,16.13,170.1,105,7.65,10.6,4,2.86,0
(510) 449-2995,WY,90,no,no,0,125.4,158,21.32,269.1,83,22.87,238.6,103,10.74,11.0,7,2.97,1
(415) 938-2549,MD,107,no,no,0,294.9,71,50.13,192.8,78,16.39,148.1,87,6.66,13.2,5,3.56,1
(510) 678-2041,CA,37,no,no,0,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4,2
(415) 245-8481,MN,100,yes,no,0,159.9,94,27.18,179.9,95,15.29,154.4,102,6.95,11.6,2,3.13,2
(408) 825-4460,KY,38,no,yes,36,115.4,98,19.62,166.2,83,14.13,184.7,79,8.31,15.2,6,4.1,2
(415) 509-3039,NY,112,no,yes,23,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78,1
(415) 431-0588,NC,182,no,no,0,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89,2
(408) 784-8454,LA,163,no,yes,23,224.0,126,38.08,233.5,89,19.85,293.9,104,13.23,8.8,4,2.38,1
(510) 231-1663,WV,152,yes,yes,41,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16,1
(415) 527-2197,OH,95,no,yes,23,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2.0,0
(408) 347-8331,AK,1,no,no,0,175.2,74,29.78,151.7,79,12.89,230.5,109,10.37,5.3,3,1.43,1
(510) 992-5054,ID,116,yes,yes,29,162.3,91,27.59,279.3,79,23.74,192.7,131,8.67,11.7,2,3.16,3
(510) 493-7326,WA,111,no,no,0,152.2,114,25.87,137.2,102,11.66,185.9,97,8.37,9.8,3,2.65,0
(510) 772-0533,AR,109,no,no,0,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,9,2.65,1
(408) 658-9890,NE,103,no,no,0,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,1
(408) 365-8364,DC,115,no,no,0,178.7,114,30.38,271.0,96,23.04,245.9,94,11.07,16.4,5,4.43,2
(415) 224-4376,NM,90,no,no,0,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13.0,1,3.51,1
(510) 369-5067,MS,70,no,no,0,147.1,105,25.01,200.0,135,17.0,234.9,65,10.57,12.5,9,3.38,3
(510) 126-8234,AR,109,no,no,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3
(510) 729-9765,WA,82,no,no,0,265.2,122,45.08,178.7,102,15.19,174.7,90,7.86,10.7,9,2.89,2
(415) 995-5163,RI,180,no,no,0,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73,1
(408) 587-8830,IL,79,yes,no,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2
(415) 323-3313,MD,102,no,no,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1
(408) 810-7330,MT,49,no,no,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1
(408) 680-9488,VT,67,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6
(415) 244-5249,CO,107,no,no,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2
(510) 143-2283,WA,118,no,no,0,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2
(408) 980-9402,AR,94,no,no,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0
(408) 682-9685,DC,147,no,no,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2
(415) 559-3867,TN,123,no,no,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3
(415) 508-1215,OR,97,no,no,0,146.0,121,24.82,203.0,141,17.26,151.8,120,6.83,13.3,2,3.59,1
(415) 759-7542,NY,123,no,no,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4
(415) 271-5793,OK,63,no,no,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1
(415) 313-4394,MS,78,no,yes,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2
(415) 709-6848,MD,106,no,no,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3
(415) 844-2501,AR,145,no,no,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1
(415) 445-5734,MI,48,no,no,0,240.0,88,40.8,141.0,117,11.99,128.9,137,5.8,7.1,9,1.92,1
(415) 307-5567,WV,100,no,no,0,166.0,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1
(408) 299-1151,ND,147,yes,yes,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3
(415) 587-6141,TN,115,no,no,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11.0,7,2.97,1
(510) 272-1399,IL,86,no,yes,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4
(415) 510-9292,NH,141,no,yes,32,322.4,92,54.81,283.2,107,24.07,209.5,111,9.43,6.7,3,1.81,1
(408) 152-2678,MN,163,no,yes,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,2
(415) 490-4058,IA,89,no,yes,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1
(415) 254-9483,AL,76,no,no,0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,2,3.35,0
(408) 833-4692,KS,91,yes,no,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2
(415) 172-9710,OH,69,no,no,0,227.0,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,2
(415) 102-4881,ND,180,no,no,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3
(510) 552-4479,OR,64,no,no,0,213.5,93,36.3,166.6,114,14.16,122.0,78,5.49,14.1,3,3.81,3
(408) 791-4420,OK,160,no,no,0,166.4,117,28.29,317.0,129,26.95,160.4,121,7.22,10.0,2,2.7,1
(415) 726-3764,MI,74,no,no,0,314.1,86,53.4,222.4,99,18.9,259.0,121,11.66,12.3,5,3.32,3
(415) 906-6441,MI,134,no,yes,41,162.0,82,27.54,324.7,77,27.6,160.1,112,7.2,11.9,5,3.21,0
(408) 462-3131,RI,46,no,no,0,40.4,105,6.87,172.4,83,14.65,145.1,89,6.53,9.0,2,2.43,2
(408) 793-1392,MI,132,no,no,0,291.2,104,49.5,234.2,132,19.91,191.7,87,8.63,8.9,3,2.4,1
(415) 198-0088,ND,50,no,no,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1
(408) 497-2238,LA,98,no,no,0,136.1,82,23.14,156.3,118,13.29,158.8,83,7.15,10.1,5,2.73,2
(408) 454-5965,NJ,156,no,yes,27,192.3,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4.0,1
(408) 163-0970,NC,130,yes,no,0,216.2,106,36.75,363.7,86,30.91,126.7,123,5.7,16.9,2,4.56,5
(415) 747-6933,TX,90,yes,yes,26,169.0,104,28.73,188.8,104,16.05,213.3,76,9.6,13.3,3,3.59,0
(510) 827-3881,WY,101,no,yes,9,160.1,116,27.22,210.0,121,17.85,139.1,65,6.26,10.8,9,2.92,0
(510) 405-9606,AL,117,no,no,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2
(415) 662-8672,AL,95,no,no,0,229.9,116,39.08,202.4,110,17.2,171.4,105,7.71,14.2,6,3.83,1
(415) 357-3838,SC,107,no,no,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0
(415) 109-3689,TN,88,no,no,0,181.5,116,30.86,187.0,119,15.9,220.3,96,9.91,10.5,7,2.84,1
(415) 833-3640,MS,120,no,no,0,131.7,99,22.39,163.1,109,13.86,201.1,116,9.05,10.7,3,2.89,1
(510) 975-8297,KY,106,no,yes,9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,8.2,4,2.21,3
(408) 463-7361,NH,84,no,yes,30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2
(415) 176-9933,ME,62,yes,yes,32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0
(408) 137-4239,WI,20,no,no,0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2
(415) 862-0199,CA,112,no,no,0,208.7,150,35.48,212.8,104,18.09,178.1,98,8.01,8.5,4,2.3,0
(510) 474-8810,VA,107,no,yes,27,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,2
(408) 138-7498,MT,137,yes,no,0,258.0,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0
(415) 713-8011,NH,90,no,yes,42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3.0,0
(510) 782-8567,IN,189,no,no,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1
(415) 630-4594,AL,19,yes,no,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0
(510) 966-7871,IN,156,no,no,0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1
(510) 722-7337,NH,101,no,no,0,220.3,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1
(415) 678-4860,IA,123,no,no,0,204.4,88,34.75,137.5,111,11.69,226.0,100,10.17,10.0,4,2.7,0
(408) 491-9661,NH,97,no,yes,32,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2
(408) 123-0623,IN,115,no,no,0,146.7,128,24.94,106.2,74,9.03,197.7,104,8.9,11.1,4,3.0,2
(408) 879-0366,WI,95,no,no,0,237.3,83,40.34,154.0,65,13.09,237.0,105,10.67,11.2,6,3.02,1
(415) 993-3565,NH,105,no,yes,20,186.9,114,31.77,256.3,91,21.79,334.7,104,15.06,8.9,2,2.4,1
